Store_Dept_Date,Weekly_Sales
1_1_2012-11-02,31526.446500000016
1_2_2012-11-02,47984.76570000002
1_3_2012-11-02,11775.179500000002
1_4_2012-11-02,38341.27669999999
1_5_2012-11-02,31259.67739999998
1_6_2012-11-02,4791.595500000004
1_7_2012-11-02,23083.6203
1_8_2012-11-02,37852.1659
1_9_2012-11-02,41830.657700000025
1_10_2012-11-02,31864.546600000012
1_11_2012-11-02,26237.89990000001
1_12_2012-11-02,9860.588800000003
1_13_2012-11-02,43134.45920000001
1_14_2012-11-02,14110.630700000002
1_16_2012-11-02,6264.798299999998
1_17_2012-11-02,8634.540200000001
1_18_2012-11-02,12784.191400000003
1_19_2012-11-02,1018.2914000000003
1_20_2012-11-02,3310.6128999999996
1_21_2012-11-02,8168.232200000002
1_22_2012-11-02,7937.818600000006
1_23_2012-11-02,23269.97269999999
1_24_2012-11-02,6564.989599999997
1_25_2012-11-02,10860.1964
1_26_2012-11-02,7891.6082000000015
1_27_2012-11-02,1845.3491000000008
1_28_2012-11-02,760.4256999999997
1_29_2012-11-02,4759.093399999995
1_30_2012-11-02,2454.0812999999994
1_31_2012-11-02,2054.2381000000005
1_32_2012-11-02,6674.851500000001
1_33_2012-11-02,6593.218999999996
1_34_2012-11-02,11470.4305
1_35_2012-11-02,2461.248199999999
1_36_2012-11-02,2021.3734999999992
1_37_2012-11-02,2869.0994000000005
1_38_2012-11-02,85600.74820000002
1_40_2012-11-02,62813.98609999999
1_41_2012-11-02,1273.0143000000003
1_42_2012-11-02,8139.748299999994
1_44_2012-11-02,5655.202299999996
1_46_2012-11-02,18660.0325
1_48_2012-11-02,2375.863
1_49_2012-11-02,10308.387499999992
1_52_2012-11-02,2178.3049
1_55_2012-11-02,14414.44720000001
1_56_2012-11-02,1190.7075000000002
1_58_2012-11-02,3136.2590999999998
1_59_2012-11-02,675.7430999999993
1_60_2012-11-02,1246.8220000000008
1_67_2012-11-02,6101.579000000001
1_71_2012-11-02,2553.883699999999
1_72_2012-11-02,55751.15160000001
1_74_2012-11-02,9819.050599999995
1_79_2012-11-02,43874.00339999998
1_80_2012-11-02,18630.650399999995
1_81_2012-11-02,31097.458499999986
1_82_2012-11-02,19924.78200000001
1_83_2012-11-02,5622.222200000002
1_85_2012-11-02,3088.170900000001
1_87_2012-11-02,59732.71719999997
1_90_2012-11-02,90430.0506
1_91_2012-11-02,63913.089499999965
1_92_2012-11-02,100000.0
1_93_2012-11-02,76613.2904
1_94_2012-11-02,60824.19729999999
1_95_2012-11-02,100000.0
1_96_2012-11-02,32614.165399999983
1_97_2012-11-02,33901.97519999999
1_98_2012-11-02,12850.892699999991
1_99_2012-11-02,150.45180000000005
1_1_2012-11-09,20038.935299999997
1_2_2012-11-09,47246.37280000002
1_3_2012-11-09,11432.4142
1_4_2012-11-09,37979.382500000014
1_5_2012-11-09,33568.22589999999
1_6_2012-11-09,3496.2108999999996
1_7_2012-11-09,25163.5955
1_8_2012-11-09,37188.10029999998
1_9_2012-11-09,36023.88249999999
1_10_2012-11-09,32484.875200000006
1_11_2012-11-09,23666.913900000007
1_12_2012-11-09,10258.446699999999
1_13_2012-11-09,40748.78390000002
1_14_2012-11-09,16348.967700000005
1_16_2012-11-09,6804.461499999997
1_17_2012-11-09,8640.141200000004
1_18_2012-11-09,11405.836299999999
1_19_2012-11-09,983.6312000000004
1_20_2012-11-09,3426.721500000001
1_21_2012-11-09,8141.1987999999965
1_22_2012-11-09,8023.792500000003
1_23_2012-11-09,22180.4095
1_24_2012-11-09,6207.6628
1_25_2012-11-09,10072.319799999997
1_26_2012-11-09,7716.7837
1_27_2012-11-09,1710.5401000000006
1_28_2012-11-09,709.1913000000001
1_29_2012-11-09,4581.310600000002
1_30_2012-11-09,2486.1495
1_31_2012-11-09,1647.1408999999987
1_32_2012-11-09,6566.866800000002
1_33_2012-11-09,6358.917499999999
1_34_2012-11-09,11498.0809
1_35_2012-11-09,2414.2767999999996
1_36_2012-11-09,1406.6829
1_37_2012-11-09,2967.1549
1_38_2012-11-09,80505.07790000003
1_40_2012-11-09,60650.400599999986
1_41_2012-11-09,1117.5704000000005
1_42_2012-11-09,8377.566699999994
1_44_2012-11-09,5799.1491999999935
1_46_2012-11-09,18127.612199999992
1_48_2012-11-09,2354.123
1_49_2012-11-09,9928.930899999992
1_52_2012-11-09,2123.5561999999995
1_55_2012-11-09,21807.907400000015
1_56_2012-11-09,1214.6993999999997
1_58_2012-11-09,3430.3084999999996
1_59_2012-11-09,747.9818000000005
1_60_2012-11-09,1162.8399999999995
1_67_2012-11-09,6105.4078
1_71_2012-11-09,2439.5953999999992
1_72_2012-11-09,49303.25519999999
1_74_2012-11-09,9774.313199999997
1_79_2012-11-09,41019.07329999999
1_80_2012-11-09,19511.512299999988
1_81_2012-11-09,31059.51129999998
1_82_2012-11-09,20100.001600000007
1_83_2012-11-09,6086.626799999999
1_85_2012-11-09,2925.705
1_87_2012-11-09,55887.50179999997
1_90_2012-11-09,92492.83670000001
1_91_2012-11-09,72272.05870000002
1_92_2012-11-09,100000.0
1_93_2012-11-09,83266.26239999995
1_94_2012-11-09,61282.644699999975
1_95_2012-11-09,100000.0
1_96_2012-11-09,33283.390299999985
1_97_2012-11-09,36617.16090000001
1_98_2012-11-09,13211.893100000005
1_99_2012-11-09,79.71650000000004
1_1_2012-11-16,19591.09020000001
1_2_2012-11-16,44480.959799999975
1_3_2012-11-16,11241.967500000004
1_4_2012-11-16,38641.98020000002
1_5_2012-11-16,29480.46120000001
1_6_2012-11-16,3497.2824
1_7_2012-11-16,25849.569
1_8_2012-11-16,36227.45349999999
1_9_2012-11-16,35103.07749999999
1_10_2012-11-16,32346.6522
1_11_2012-11-16,27090.200200000014
1_12_2012-11-16,8719.603999999998
1_13_2012-11-16,38050.484899999996
1_14_2012-11-16,17264.235599999993
1_16_2012-11-16,6093.218000000003
1_17_2012-11-16,9555.9956
