Date,Store,Dept,Weekly_Sales
2012-11-02,1,1,31526.446500000016
2012-11-02,1,2,47984.76570000002
2012-11-02,1,3,11775.179500000002
2012-11-02,1,4,38341.27669999999
2012-11-02,1,5,31259.67739999998
2012-11-02,1,6,4791.595500000004
2012-11-02,1,7,23083.6203
2012-11-02,1,8,37852.1659
2012-11-02,1,9,41830.657700000025
2012-11-02,1,10,31864.546600000012
2012-11-02,1,11,26237.89990000001
2012-11-02,1,12,9860.588800000003
2012-11-02,1,13,43134.45920000001
2012-11-02,1,14,14110.630700000002
2012-11-02,1,16,6264.798299999998
2012-11-02,1,17,8634.540200000001
2012-11-02,1,18,12784.191400000003
2012-11-02,1,19,1018.2914000000003
2012-11-02,1,20,3310.6128999999996
2012-11-02,1,21,8168.232200000002
2012-11-02,1,22,7937.818600000006
2012-11-02,1,23,23269.97269999999
2012-11-02,1,24,6564.989599999997
2012-11-02,1,25,10860.1964
2012-11-02,1,26,7891.6082000000015
2012-11-02,1,27,1845.3491000000008
2012-11-02,1,28,760.4256999999997
2012-11-02,1,29,4759.093399999995
2012-11-02,1,30,2454.0812999999994
2012-11-02,1,31,2054.2381000000005
2012-11-02,1,32,6674.851500000001
2012-11-02,1,33,6593.218999999996
2012-11-02,1,34,11470.4305
2012-11-02,1,35,2461.248199999999
2012-11-02,1,36,2021.3734999999992
2012-11-02,1,37,2869.0994000000005
2012-11-02,1,38,85600.74820000002
2012-11-02,1,40,62813.98609999999
2012-11-02,1,41,1273.0143000000003
2012-11-02,1,42,8139.748299999994
2012-11-02,1,44,5655.202299999996
2012-11-02,1,46,18660.0325
2012-11-02,1,48,2375.863
2012-11-02,1,49,10308.387499999992
2012-11-02,1,52,2178.3049
2012-11-02,1,55,14414.44720000001
2012-11-02,1,56,1190.7075000000002
2012-11-02,1,58,3136.2590999999998
2012-11-02,1,59,675.7430999999993
2012-11-02,1,60,1246.8220000000008
2012-11-02,1,67,6101.579000000001
2012-11-02,1,71,2553.883699999999
2012-11-02,1,72,55751.15160000001
2012-11-02,1,74,9819.050599999995
2012-11-02,1,79,43874.00339999998
2012-11-02,1,80,18630.650399999995
2012-11-02,1,81,31097.458499999986
2012-11-02,1,82,19924.78200000001
2012-11-02,1,83,5622.222200000002
2012-11-02,1,85,3088.170900000001
2012-11-02,1,87,59732.71719999997
2012-11-02,1,90,90430.0506
2012-11-02,1,91,63913.089499999965
2012-11-02,1,92,100000.0
2012-11-02,1,93,76613.2904
2012-11-02,1,94,60824.19729999999
2012-11-02,1,95,100000.0
2012-11-02,1,96,32614.165399999983
2012-11-02,1,97,33901.97519999999
2012-11-02,1,98,12850.892699999991
2012-11-02,1,99,150.45180000000005
2012-11-09,1,1,20038.935299999997
2012-11-09,1,2,47246.37280000002
2012-11-09,1,3,11432.4142
2012-11-09,1,4,37979.382500000014
2012-11-09,1,5,33568.22589999999
2012-11-09,1,6,3496.2108999999996
2012-11-09,1,7,25163.5955
2012-11-09,1,8,37188.10029999998
2012-11-09,1,9,36023.88249999999
2012-11-09,1,10,32484.875200000006
2012-11-09,1,11,23666.913900000007
2012-11-09,1,12,10258.446699999999
2012-11-09,1,13,40748.78390000002
2012-11-09,1,14,16348.967700000005
2012-11-09,1,16,6804.461499999997
2012-11-09,1,17,8640.141200000004
2012-11-09,1,18,11405.836299999999
2012-11-09,1,19,983.6312000000004
2012-11-09,1,20,3426.721500000001
2012-11-09,1,21,8141.1987999999965
2012-11-09,1,22,8023.792500000003
2012-11-09,1,23,22180.4095
2012-11-09,1,24,6207.6628
2012-11-09,1,25,10072.319799999997
2012-11-09,1,26,7716.7837
2012-11-09,1,27,1710.5401000000006
2012-11-09,1,28,709.1913000000001
2012-11-09,1,29,4581.310600000002
2012-11-09,1,30,2486.1495
2012-11-09,1,31,1647.1408999999987
2012-11-09,1,32,6566.866800000002
2012-11-09,1,33,6358.917499999999
2012-11-09,1,34,11498.0809
2012-11-09,1,35,2414.2767999999996
2012-11-09,1,36,1406.6829
2012-11-09,1,37,2967.1549
2012-11-09,1,38,80505.07790000003
2012-11-09,1,40,60650.400599999986
2012-11-09,1,41,1117.5704000000005
2012-11-09,1,42,8377.566699999994
2012-11-09,1,44,5799.1491999999935
2012-11-09,1,46,18127.612199999992
2012-11-09,1,48,2354.123
2012-11-09,1,49,9928.930899999992
2012-11-09,1,52,2123.5561999999995
2012-11-09,1,55,21807.907400000015
2012-11-09,1,56,1214.6993999999997
2012-11-09,1,58,3430.3084999999996
2012-11-09,1,59,747.9818000000005
2012-11-09,1,60,1162.8399999999995
2012-11-09,1,67,6105.4078
2012-11-09,1,71,2439.5953999999992
2012-11-09,1,72,49303.25519999999
2012-11-09,1,74,9774.313199999997
2012-11-09,1,79,41019.07329999999
2012-11-09,1,80,19511.512299999988
2012-11-09,1,81,31059.51129999998
2012-11-09,1,82,20100.001600000007
2012-11-09,1,83,6086.626799999999
2012-11-09,1,85,2925.705
2012-11-09,1,87,55887.50179999997
2012-11-09,1,90,92492.83670000001
2012-11-09,1,91,72272.05870000002
2012-11-09,1,92,100000.0
2012-11-09,1,93,83266.26239999995
2012-11-09,1,94,61282.644699999975
2012-11-09,1,95,100000.0
2012-11-09,1,96,33283.390299999985
2012-11-09,1,97,36617.16090000001
2012-11-09,1,98,13211.893100000005
2012-11-09,1,99,79.71650000000004
2012-11-16,1,1,19591.09020000001
2012-11-16,1,2,44480.959799999975
2012-11-16,1,3,11241.967500000004
2012-11-16,1,4,38641.98020000002
2012-11-16,1,5,29480.46120000001
2012-11-16,1,6,3497.2824
2012-11-16,1,7,25849.569
2012-11-16,1,8,36227.45349999999
2012-11-16,1,9,35103.07749999999
2012-11-16,1,10,32346.6522
2012-11-16,1,11,27090.200200000014
2012-11-16,1,12,8719.603999999998
2012-11-16,1,13,38050.484899999996
2012-11-16,1,14,17264.235599999993
2012-11-16,1,16,6093.218000000003
2012-11-16,1,17,9555.9956
2012-11-16,1,18,12804.572699999997
2012-11-16,1,19,1026.7716999999998
2012-11-16,1,20,3286.8343000000004
2012-11-16,1,21,8267.069099999999
2012-11-16,1,22,7682.060600000002
2012-11-16,1,23,22823.21209999999
2012-11-16,1,24,6610.178399999997
2012-11-16,1,25,10499.831299999994
2012-11-16,1,26,7353.885000000004
2012-11-16,1,27,1853.7001000000016
2012-11-16,1,28,711.4791
2012-11-16,1,29,5663.262699999999
2012-11-16,1,30,2313.024500000001
2012-11-16,1,31,1662.0303999999999
2012-11-16,1,32,5896.0530999999955
2012-11-16,1,33,5779.708399999999
2012-11-16,1,34,12580.004699999996
2012-11-16,1,35,2573.9788999999982
2012-11-16,1,36,2015.4097000000006
2012-11-16,1,37,2724.5670000000014
2012-11-16,1,38,78149.9358
2012-11-16,1,40,60511.14490000002
2012-11-16,1,41,1215.4609
2012-11-16,1,42,7730.910999999996
2012-11-16,1,44,5838.027799999999
2012-11-16,1,46,17775.05949999999
2012-11-16,1,48,2413.4997999999996
2012-11-16,1,49,10013.398199999989
2012-11-16,1,52,2107.887600000001
2012-11-16,1,54,39.60120000000004
2012-11-16,1,55,20872.729000000003
2012-11-16,1,56,1016.9837999999996
2012-11-16,1,58,3917.8884999999996
2012-11-16,1,59,776.2018000000003
2012-11-16,1,60,873.7519999999997
2012-11-16,1,67,6990.276700000004
2012-11-16,1,71,2426.9781000000003
2012-11-16,1,72,43677.35079999997
2012-11-16,1,74,9756.972799999998
2012-11-16,1,79,32496.73040000003
2012-11-16,1,80,19110.672799999993
2012-11-16,1,81,30545.562500000004
2012-11-16,1,82,20473.5015
2012-11-16,1,83,5568.771
2012-11-16,1,85,3164.1686
2012-11-16,1,87,48388.37169999998
2012-11-16,1,90,93823.86320000007
2012-11-16,1,91,68089.45139999999
2012-11-16,1,92,100000.0
2012-11-16,1,93,82544.23079999993
2012-11-16,1,94,61528.97339999996
2012-11-16,1,95,100000.0
2012-11-16,1,96,31013.710499999994
2012-11-16,1,97,36723.082300000024
2012-11-16,1,98,14701.783800000007
2012-11-23,1,1,20952.868400000007
2012-11-23,1,2,47104.58969999997
2012-11-23,1,3,10176.388600000008
2012-11-23,1,4,45590.62450000001
2012-11-23,1,5,71621.40190000006
2012-11-23,1,6,21395.143000000007
2012-11-23,1,7,81643.66499999998
2012-11-23,1,8,36321.00490000001
2012-11-23,1,9,41316.415500000025
2012-11-23,1,10,31421.142899999963
2012-11-23,1,11,28805.211600000035
2012-11-23,1,12,9260.699699999994
2012-11-23,1,13,38195.7759
2012-11-23,1,14,52465.05490000002
2012-11-23,1,16,8060.468099999997
2012-11-23,1,17,12417.1377
2012-11-23,1,18,27877.433700000016
2012-11-23,1,19,1093.3878999999993
2012-11-23,1,20,5321.637300000001
2012-11-23,1,21,9785.669400000002
2012-11-23,1,22,17017.980500000016
2012-11-23,1,23,32901.643300000025
2012-11-23,1,24,15195.497099999988
2012-11-23,1,25,12112.511199999992
2012-11-23,1,26,9127.406200000005
2012-11-23,1,27,2014.9535000000021
2012-11-23,1,28,826.3609
2012-11-23,1,29,5898.548400000001
2012-11-23,1,30,2649.1432999999984
2012-11-23,1,31,1624.7200999999989
2012-11-23,1,32,8892.2428
2012-11-23,1,33,10150.688399999988
2012-11-23,1,34,14454.080300000007
2012-11-23,1,35,2916.268799999999
2012-11-23,1,36,2588.416600000001
2012-11-23,1,37,2658.1307000000024
2012-11-23,1,38,64304.45030000003
2012-11-23,1,40,59821.09440000002
